etichetă_joc,total_încercări,cuvânt_găsit,secvență_încercări
5176,11,PRINTERULUI,A L B M R O C T I P N
5177,9,MORTIFICATII,E I O N R A L F C
5178,16,PLĂSMUITORI,A C I D V E M O N U F S Ă G L P
5179,8,JUGULA,E I M B U A O G
5180,17,RĂSPUTIȚEI,A L G M N R H B Z T C O U Ț Ă S P
5181,13,ZDUPĂIALĂ,A C S I E G O T R Z D Ă L
5182,9,INDECIDABILE,C N T O F I D B L
5183,13,MINIATURILOR,A C G N E O R F I Z U B L
5184,3,ARANJOR,A N O
5185,9,GHEȚIÂOAREI,A L C G H Ț Â O R
5186,2,DALB,A L
5187,8,PERILIMFATIC,E R L M F A T C
5188,9,IZODINAMICĂ,R Z O N A M C E Ă
5189,11,MUSCAN,C L G D N T R E S O U
5190,7,LIMFOSARCOM,I F O S A R C
5191,10,PALUDOTERAPIEI,B G P L U D O T R I
5192,9,BATJOCORIRII,A N H Î B T J C R
5193,7,TELETIPISTE,D N R T L I S
5194,12,ABSTINENȚA,A B N T Z C D I P O V Ț
5195,4,NĂBUÂ,B O U Â
5196,6,ARBITRAJUL,A R I T U L
5197,10,DEPHENOLAGE,B C F P H N O L A G
5198,17,SUPĂ,A R B F H N Z C V D M P I J L Ț S
5199,10,LUMEN,B F L I Â C D E G M
5200,5,LULACHIU,Ț U C H I
5201,6,CEZARI,A B I E U Z
5202,6,BĂTĂTURI,E Ă U R A I
5203,9,CALABREZILOR,A C R Ț D L E Z I
5204,18,MATERNALĂ,A C M B S I V U Ă Â N F P O Î E J T
5205,13,MĂRGINI,B U H N D C A S O Ă L M I
5206,9,MONOPOLIZATOR,F M N P L I Z A T
5207,9,TETRAHIDRONAFTALINEI,T E R H I D N F L
5208,4,BIBLIE,B A C E
5209,3,OENOCHOE,O N C
5210,21,DEJOJĂRI,A R B D U G N T I Â C L Ă P V Z F M S X J
5211,11,TERMOLUMINESCENȚĂ,T R M O L U I N S Ț Ă
5212,10,ANCHILOSTOM,A C R G S O M I H L
5213,10,EPICURIAN,L O R X E I S C U N
5214,11,PEREGRINAGIU,C D N T R O G I A Ț U
5215,7,NARCOTIZATOR,C A R B N T I
5216,9,IUNEA,B M V D G L N E A
5217,18,VAPOTRON,A M C S T U O J I G Î Ă H E L D V N
5218,16,SINUZALE,A B O C V F G L I R N Ă U T M Z
5219,9,MICROCINEMATOGRAFIE,M I C O N E T G F
5220,10,INEGALIZEZ,C R B L I M E G S N
5221,16,DECUPLARE,A O R I E N L G M T V Ă Z P Ț U
5222,9,SIFONĂRIEI,B D E R O L N F Ă
5223,10,TELANGIECTAZIE,B C O L A R T E I Z
5224,10,CIORAPULUI,A N D T O G C I U L
5225,15,MICROMETRI,B L U A Z O N D T R M V F H E
5226,13,GRUMAJII,A Ț B D I E Ă F O M U N J
5227,8,NEORÂNDUIT,E A O R Â D U I
5228,7,COMPĂTIMIRII,I E O P Ă T R
5229,15,NEURODERMITĂ,A C I B G M N H E R L T P D Ă
5230,16,CARMELINĂ,A B H L I D U M E R G P T Z O Ă
5231,12,EXORTAȚIEI,A B D C E N G M X I T Ț
5232,13,ORGANZIN,B L N T R C P O G M F S Z
5233,12,NESTAȚIONARĂ,V O C E D I N L S T R Ă
5234,8,CARILONURI,A C I T B R O U
5235,8,ANTECAMBRIAN,O T E C M B R I
5236,12,SĂRCINIOARĂ,A N X C H L S T F R Â Ă
5237,3,BARBARIZA,A R I
5238,11,EXSUDĂRI,A P B E O X U N I R Ă
5239,17,CORMANĂ,A B E Ă Z F L U I R Â T D S N Ț M
5240,11,SEISMOGRAFULUI,A B E I N S M O G R U
5241,10,PROCURATURI,F P E I Z O Ă C U A
5242,7,PALEMONI,A H L E M N I
5243,16,DEZBINĂRII,A S C O U G N L Z Â M R T D E Ă
5244,6,ZĂMORĂSC,D M R S C O
5245,3,TA-TONA,A O N
5246,11,ISTORISEASCĂ,M P E A L N S T O C Ă
5247,5,PEPPERCORNS,E C O N S
5248,6,ÎNÂE-LÂNDU-I,Â E L D U I
5249,22,DINARI,A T B G Z C U D H J L M X P O S V Ă Â Ț F N
5250,8,DERIVĂRI,A P D E N S Ă I
5251,9,NEASIGURAT,B N E L S I G R T
5252,5,ȚINTUINDU-L,Ț T U D L
5253,10,ICONOGRAFĂ,C L E H I N G R A Ă
5254,7,UMBELIFERELOR,U M B I F R O
5255,8,ENJAMBAMENTE,C O F N J A M B
5256,18,DOLAW,C F U S T B Ă O D J G I M P R V Z W
5257,8,ULTRAPORȚELAN,A L R N Ț O U P
5258,12,GAMETICID,B Z O C D L T M S N G E
5259,17,MOÂII,B Z C P D F N G H L J M R S T Ț Â
5260,11,VRĂ-JITORESC,D E S T U V R Ă J I C
5261,14,DIRIGENT,B C P E S Ț D J F L N Z T G
5262,11,NEFROLOGIA,A M C S B E L G N R O
5263,11,HEBERTIÂTI,A I T U E F R N L D Â
5264,9,SUMEDENIEI,C O E I A R S U N
5265,12,PUNCTÂND,A R T I Ă D U O E M P N
5266,12,LĂCRIMEA,A B C T R V E S U Ă G M
5267,15,ÎMBUN,A U O H L R T Z Ă G J S E Î M
5268,11,CHIRIILE,A B D E L O P N H M I
5269,12,BUTENE,A E B O C Ă D S G L M U
5270,20,ACTIVE,B C D S Ț R H O I M F G L J P U N X T V
5271,16,TANGHIRE,A N B I L C G V R M D U Ă Z O H
5272,5,CIUBUCUL,A C R B L
5273,15,MUZEISTIC,C I L D G A M Ă R Â Ț N U S T
5274,11,LEMNIÂOR,A L U R I T D G E M O
5275,7,OBSTETRICE,S E R V I C T
5276,9,SINCATEGOREMATICI,S N C T E G O R M
5277,5,NE-ASTUPE,N E A S U
5278,8,PSEUDODEMENȚEI,P S U O M N Ț I
5279,12,TETRAMERĂ,B R L D Z G M I P S T A
5280,8,BILURI,A C U E F G L R
5281,3,AFERARE,C F R
5282,6,CONTEXTE,A R E N O X
5283,18,MONASTIC,B L N T G U P R C S H F M E Â Z Ț O
5284,6,RÂNDUNEAUA,E P Â N D U
5285,20,SARCOMUL,B U L Ă E I C N O F D T M Ț P G H Z V S
5286,7,ÎNCORONÂND,C R B N E Î Â
5287,14,RUMBA,B I F L Z E G N D O C U T M
5288,9,INDESTRUCTIBILI,N D E S T R U B L
5289,10,MIRENI,B P C R Z F G L M N
5290,13,AEROBI,A B Â C E S P V J U N T O
5291,7,NAUFRAGIATORI,A F R G I T O
5292,6,EPICICLOIDALE,E P L O D A
5293,6,EPOLMENT,B L M N P O
5294,5,MULTIVALV,M U T I A
5295,6,PO-RECLĂ,E A O R C Ă
5296,8,FIERTURII,C E R B L N T U
5297,10,SPERMATOFITĂ,R I Z S P E M A O Ă
5298,13,MĂCĂIALĂ,B E S I Z N Â R L Ă U D M
5299,7,MITOLOGIEI,C N T L G E M
5300,13,EUFORICĂ,A B C R M E G T U N I L F
5301,18,DESCULȚĂ,A N T R B O E Â C I L M P S H F Ț U
5302,17,PLEZNITOARE,A B C D M E T S N P F H I Z V Ă L
5303,10,NEINSPIRAT,C T U L N E M S P R
5304,15,JIGHERE,A N I Ă B O D F L E U Y Î R J
5305,9,ÂURUBA,C H L J Ă Â R I A
5306,11,AFIRMÂNDU-SE,A C Z F I M Â N D U S
5307,14,PROPOVĂDUITE,C M S T E A D I P N U Â V Ă
5308,18,CURIOSA,A B L F M V U D E N I Ț T Ă Â O Z S
5309,13,PILONĂRI,A D G I E L C N Â T U O Ă
5310,9,VIBROMASAJ,A C R I L B M S J
5311,7,INVENTICĂ,C E D F V T Ă
5312,8,CRISTALIFERĂ,C I S T A L E Ă
5313,10,PERISTILIC,B C S N P G M R T L
5314,6,GRAMATICALI,G R M T C L
5315,14,DELABREZ,B N C R T D A M S I F J P L
5316,11,VIRULENTE,C B R A L E N T J O U
5317,19,DUNGĂ,B F H L R T Â C J M G I S X N P Z Ț D
5318,8,HIDROBIOLOGIC,B S H D R L G C
5319,8,TERMOCLIMATICE,A M N C R L T E
5320,9,RĂRIȚA,A C L T V R Â B Ă
5321,5,GLICOFILI,C V G O F
5322,5,PREZERVARE,P M Z V A
5323,11,VERTIGINOÂI,A O R F C N I U V E Â
5324,12,FOSILIZAT,A B D C Ă E L I P F O Z
5325,13,SFORĂIALA,A B S D M R O C U E Z F Ă
5326,7,RUSCHIU,A B H E U R I
5327,8,ÎNNEMURESC,Î E B Ă M U R C
5328,12,MANDĂLACI,A S Â D E M R G P N L I
5329,9,AUTOMODELISMUL,A E R U T D L I S
5330,11,IREPETABIL,B E C O N P R I X V T
5331,12,ZIMȚUIA,A S C R D P J M T L Z Ț
5332,9,AUTOPROGRAMARE,A T B P R C G M E
5333,12,GRĂDINĂRI,A R N S E P L F T O Ă D
5334,2,GEOGR,E O
5335,8,ELISABETAN,C G E I S B T N
5336,6,DECADENȚI,E C A N Ă I
5337,9,ÂELĂRIE,B C D P Â A Ă I L
5338,9,SOMNOLENTE,C L P M N I H S E
5339,11,BUCĂTĂRESEI,A L R O I C D U Ă E S
5340,8,POSTDATEZ,B M P O D A E Z
5341,9,PSEUDOLITERATURI,P E D O L I T R A
5342,10,BIRUINȚI,A L R O E C I F N U
5343,9,POLISILABICE,C E T P O I G S B
5344,6,ZAIMI,A S U Â D Z
5345,11,NIVELĂRII,A L J E T I G O R C Ă
5346,17,RETROGRADĂRI,A B D E N M T R P C S G H L Z F Ă
5347,16,STIPULI,A B C H O D I N G L U R V E Ț P
5348,5,AMVOANE,D M O N E
5349,7,DEZAS-TRU,D E Z A S T R
5350,13,MATURILOR,A C V Â L R U S B O E N M
5351,7,NEURASTENIZANTE,U R A S T I Z
5352,9,ANALOBARĂ,C L R M V N I O B
5353,6,LEGĂTURĂ,B T U R L E
5354,20,MEXICANIST,A R B O N L D F Ț I T M Â Z V U S Ă P X
5355,14,STRĂCHINOAIEI,C O G U M P D E T S R Ă H A
5356,9,SCULI,A I Ă C P G M T U
5357,8,PANEUROPENISM,A N E R O I S M
5358,4,SPĂSEALĂ,P E A L
5359,7,PE-ATUNCI,D P E T U N C
5360,15,ÎNMÂNAȚI,A T C R D F J O P S Ă Î N M I
5361,9,ENCEFALOGRAMĂ,A C E L R O G N F
5362,7,SITĂ,A L P S D F I
5363,15,BAROCHISMULUI,A C D P B N R W E T O H I U L
5364,15,ȚIGARA,E C N U D L F G A Ă M T P Â R
5365,9,NECROMANȚII,C Q R O T N Ț I E
5366,9,GARDEROBURI,B I Z M G D E O U
5367,6,REENCLENCHEMENT,R C L H M T
5368,17,STROBILI,A G I L E C D M P J Ă Ț U O B Y T
5369,3,CUPLULUI,C P I
5370,3,MĂMĂLIGĂ,Ă L I
5371,15,SUCI,I B D G M L E N P R Ă T A Â C
5372,8,FERESTRĂU,A E I C F T U Ă
5373,8,COTIGESC,A I O N Ă G E S
5374,14,OMNICOLE,B U I Ț Ă A E L O R S V G M
5375,3,ȚUȚURI,U A I
5376,6,DIFUZIUNII,A C D I F Z
5377,12,STEATONECROZEI,A L H I O M E U S T R Z
5378,12,MĂRIND,R E C I A G U L O Â N D
5379,12,PESCĂRI,A R N C T I D L Ț Ă G S
5380,5,ÎNAINTATE,I V Î A E
5381,9,CAPRĂ-NEMȚEASCĂ,C A P R Ă N M Ț S
5382,6,BEHĂITURĂ,B E I T U R
5383,5,GENTILI,A E N I L
5384,11,INVALIDEZ,M C R E L P I N V T Z
5385,12,DEZINHIBIȚIE,E C A O N G M S Z I H B
5386,10,APROBATIVĂ,B O G C T I Ă E P V
5387,6,SOSITOARE,E I Z O T R
5388,13,SUBORDONABIL,A C L V R E T I Z U B O D
5389,16,ÎMPONCIÂEAZĂ,A F U H N S D I T Î M P Â E Z Ă
5390,8,FUNIILOR,B C D F U N L O
5391,10,GRINDINEAZĂ,A U C Â G I D E Z Ă
5392,7,IDENTITATE,A C N O I L T
5393,8,AUTOTRANSFORMATOARE,A U T N S F M E
5394,6,CLIPELII,A Ț C L R E
5395,10,REZOL,A D M P T E C S Z L
5396,18,TELEKIA,O B C D I G N P S X E L M R U Â Ă K
5397,12,YOGHIST,A D G O N B C I U H E Y
5398,6,DECODIFICAI,A D M E C F
5399,10,ÂLEFUITORI,E R P N T M L F U O
5400,9,GRAVURII,A T H Ă B V U F G
5401,9,SCRIJELITE,A L R Z S H I J T
5402,11,BRAIÂVANȚ,A L I N U Ă E J R V Ț
5403,8,SEAMA,C N R E T P L M
5404,8,CORBI-ALBAÂTRI,R Ă C O I L Â T
5405,10,DIRECTOR,A L N R D I G T P C
5406,18,VERUCOASE,A I E O L P B D T F Z M U H Ț N S V
5407,6,EXCLAMAȚIEI,X C L M Ț I
5408,12,FRONT,A E I Ă B Ț U Â C O F T
5409,13,NEBULARĂ,C U P M B N T Ă I D E F R
5410,15,INSOLAȚIE,A B C G M U N O I D R P F S Ț
5411,7,ULTRASUNETELOR,L T R A S N O
5412,9,TEMPESTATE,B O C U E R P T A
5413,3,SCLIVISI,C L V
5414,10,MITOCĂNESC,A N I Ă R F M O E S
5415,12,PUSTNIC,A S E R L B N C I M Ă P
5416,7,FLOTAJ,A B C E F L O
5417,7,BURSUCILOR,B L E R S I O
5418,9,TOLERĂRII,C L A N T I M E Ă
5419,13,DOLIU,A P B E C Â O R Ă D F X U
5420,15,COSTIÂI,A N R Ț D Ă E T I U O G L M Â
5421,9,TALIONULUI,D G M P T A I N U
5422,2,ISIHIEI,H E
5423,12,FRACȚIILE,A E L O B T I U F Ă P Ț
5424,19,ÎNCETĂȚENEÂTI,A N G T R B C O F S V P E M L D Î Ă Ț
5425,9,DRILOMETRE,B C M E T U D I L
5426,11,SUPRAVEGHEATĂ,I O S U R A V E G T Ă
5427,19,SODOMEA,B L I M N R U C O T E F X V P G Ă Â D
5428,4,INTRAT,H I N R
5429,6,BLESTEMAT,A E T Â B M
5430,9,PRISTOLNIC,A P T E R S O L N
5431,17,AMBREIORI,B D C R S F J L U M I P Z G N T E
5432,8,VIZUALIZATORUL,A L B V I Z T O
5433,9,PICOTELII,A C O T R Ă U E L
5434,11,CENZURĂRI,A L M P B E I N U Z Ă
5435,16,CLUBMAN,A B D I C O G H P S X R U Â E L
5436,5,DESCENSIUNII,D S C N U
5437,6,INVALIDA,D E N V G L
5438,13,RADIOMETRU,A N R F L U I G H C E M T
5439,8,MAJORULUI,C U E M A O R I
5440,15,LINOGRAFE,A B R Ț C E M U T F I N H X L
5441,9,VEVERIȚELOR,F N V G R A I Ț O
5442,10,DECRIPTAREA,A G C U L E T B D P
5443,5,NONSENSURI,O E U R I
5444,6,ARTERIOTOMIILE,A T E O M L
5445,4,COCIOABEI,C I A E
5446,6,IZOGON,A D G E I Z
5447,6,REVIZII,D E X R M V
5448,12,VĂPAIȚE,C N Ț E L T X I S O Ă P
5449,7,GEOGRAFICĂ,E O R A F C Ă
5450,10,AÂEZĂMINTELOR,A Â E Ă M I N L O R
5451,8,ÎNZĂPEZIȚI,N Ă P E S I R Ț
5452,4,ZOOBIOTIC,Z B I C
5453,4,ABIOZEI,B O Z E
5454,6,NEGRU-CENUÂIU,N G R C U I
5455,12,HEROIDELE,A L V E C R N U Ă T D O
5456,9,ÂAISPREZECELEA,C I N P A S R Z Â
5457,8,BANDITUL,B U Â L S N D I
5458,10,PARAUNIVERSALE,C P O A R U N I V L
5459,6,IZOMETROPIEI,Z M E T R P
5460,18,CONSOLĂRII,A B S O C U M N V Â E L Z D T X G Ă
5461,9,SCROBURI,A C U M R O H N S
5462,19,STÂNE,A K M T C F R O P S I Ț V G Ă D B U E
5463,20,HORȚIÂ,A B C E M N L G T Ț D U V P Ă R F H S Â
5464,12,OSPĂTOS,A B C I O L E Ă U R N S
5465,9,OBLIGII,A Ț E U O N I C G
5466,18,CONDUITĂ,A B N E O T M L P R S H V U Â F Ă D
5467,9,SACADATE,B N R M F S D E T
5468,16,TÂLHĂRI,B U S T C D Ț G M O R I P F Â H
5469,10,CARBOGEN,A R I F O T Ă C G N
5470,4,WINDOWS,I N O S
5471,6,CONOIDAL,A B C O I N
5472,7,ADMISIBILE,A D I R S L E
5473,12,RADIOTELEFON,H I R M A L C S T E F N
5474,10,MENȚINEREA,A G O Â E T I S Ț R
5475,14,CRUDUȚ,A B F I M P N U L E D T Z Ț
5476,7,CIRCUMSPECȚIEI,I R U M S E Ț
5477,7,RECTOSCOPIEI,A S T R C P E
5478,6,ANAMORFOZAT,M O R F Z T
5479,5,BAIN-MARIE,A I M R E
5480,18,PLANIFIC,B O C T M S G R J Ă I Â E U L F H P
5481,16,CHINOLINE,A D R U T E Ă M F N I Ț J Â H O
5482,16,VULNERABIL,A D B E I F T P S Z L Ă Î O V U
5483,17,LĂSARE,B I L U C M P T D F G A S V Z Â E
5484,7,TAXIDERMII,A H M E R X D
5485,13,GRAFICELOR,G L T V S D I E M N R F O
5486,14,PISCIFORME,A B L O N C U D F R S H P M
5487,8,VIVISECȚIONARE,S E C Ț O N A R
5488,23,DEZOLĂRII,A B N Z Ă D O T M Â C E X U F H V P S Î G Ț L
5489,11,DIRIJEZ,A G T M R U J Ă O E Z
5490,10,FLEGMONOÂI,A E R Ă L G M O N I
5491,6,FABRICAT,A R I C U T
5492,9,ZDRANC,A B E I M O R N D
5493,5,CERCETĂÂESC,C R T Ă S
5494,16,BRĂZDUIRE,A C I L M N R Â T O Ț F D E Ă Z
5495,18,REVENEALĂ,A B I R H E G C D S O M T P Ă Â U V
5496,5,ȚIGLING,E C I L G
5497,7,ISOPOLIMORFIE,S P L M R F E
5498,13,FARMACOFILIEI,A B N G T D S F R C O I E
5499,17,RUTENE,A B E N S D G I J Ț L Z Â M Ă P T
5500,10,DESTINATORII,A Ț C Â D E S I N R
5501,5,ARGENTINIENE,A R G E T
5502,17,GÂDILĂ,A B D E N C L M U H O R Ț T Ă Z Â
5503,18,PICUÂ,A R B E I F N L O M Ț T P S Z H Ă Â
5504,5,MENA-JERĂ,E N A R Ă
5505,15,REGALIÂTI,C O Z M B N T G I Ă E F D R Â
5506,7,CARTOGRAFIERII,C A T O F I E
5507,9,MICRONEZIANĂ,A C H I R O E Z Ă
5508,12,GINTEI,B C E Â D F G M Ț S V T
5509,11,PURTABILI,A C S R I L H M E P B
5510,9,CANDELABRE,B A J I U C E L R
5511,3,BEȚIVE,B E I
5512,19,DESFĂÂOARĂ,A P Ă R T B I Z U C M L Ț J N O F Â S
5513,7,SPURCA,A B C I P Ă U
5514,12,ÎNVESTITOR,A L E I D T O M Î C S V
5515,9,CELUIELII,A B C E R M T Ț L
5516,9,HISPANIZANT,R E I N G H S P Z
5517,7,COPIATIVI,A S E C O I T
5518,14,MONOBLEPSIE,B D C A M T F N E R Ț L P S
5519,10,ÎMPENAT,A L M E J O I S Î T
5520,8,MUNGII,A N E O Ă R I U
5521,10,SEMNIFICATIVITĂȚII,S E M N C A T V Ă Ț
5522,13,NAVLOSEÂTE,A D E R I H N U Î O L Â T
5523,10,TECSURI,A R L U I O D Ă E C
5524,8,LOBAT,D F L I R B C O
5525,10,SPECTROSCOPIA,C O N S T Â E L P I
5526,4,STATUTARE,S U R E
5527,8,REVITALIZANTE,D E I T A Z N R
5528,4,URSARULUI,R A L I
5529,14,DOMINICAN,B J L S Â D I F N U Ă M P A
5530,13,NAMESTIEI,A B D L M N O E C U G J S
5531,7,RABIA,C G L S T R I
5532,6,ÎNȚELESESEM,Î N Ț G S M
5533,11,NEOXIDABILI,A B O M C U E X N T D
5534,11,LEORBĂIELII,D Z N T S R P L O B Ă
5535,15,DISCUTATELE,B O S R C M P N T I F D E V U
5536,8,MEROVINGIENE,C A M E R O V G
5537,13,ORANT,C D I Y J L M Â P R A E T
5538,8,PROSUMATOARE,E C P R S U A T
5539,10,PLICUÂOR,A B E O C T R I P Â
5540,11,OPINCĂRIE,A C U O T N I Ă G M P
5541,11,POLIGAMĂ,C A O S F U P I G E Ă
5542,11,DEMONOLATRIE,A G U C D E M N L T R
5543,9,MĂRÂĂLUITOR,B M N R Â L U T O
5544,15,PRAXIOLOGII,A C R I B M N O D E F P S T X
5545,13,CISLUNARI,B C O L Ă Â D S T P A U R
5546,15,RECTALI,A R Ț B L M S C U D N Ă F G T
5547,15,SCUMPELE,A B G Ț M O V X I C P E R T U
5548,14,CUPRINZI,A F L M N T R P E S O U Ț Z
5549,8,SORCOVIM,E I L O R C T M
5550,11,IARBA-CĂÂUNATULUI,B A R Ă L U G I Â N T
5551,10,IMPUÂI,A U L E I R N T Î Â
5552,5,CITOBIOLOGIC,C T O B G
5553,6,CERIU,A L R B C E
5554,14,IMORTELEI,A U M B E G P N S F J O T L
5555,6,EXANGUU,H N I E X U
5556,6,MÂNCACI,B V M N A I
5557,6,BĂSMĂLI,B L J C S I
5558,4,TESTEMEL,S L I M
5559,10,KARATIST,A R G D H P S U F K
5560,9,EUROPOIDE,C F O R I L P T D
5561,8,EPIDEMICITATE,A S E C O P I D
5562,14,JUPUITE,B H S D R F M G T E Ț Ă J P
5563,9,HIGROSCOP,E I D P S C R M G
5564,16,PELUNGOASĂ,A B C N G I D R J M E S T Ă P L
5565,10,DELIMITATORI,D F L M T A B V O R
5566,6,SERIA,A C S U B E
5567,4,ETANÂAREA,E T N R
5568,17,VENIȚILOR,A R O C B Â T N D G I V Z P U S Ț
5569,10,OLEIAT,A L C Ț F G N O H T
5570,5,BUSUIOC,B A U I C
5571,15,COPTORÂȚI,A L B P N R G T E C O U Ă V Ț
5572,12,AMOROÂI,A J E N Ă B I C O L U Â
5573,5,ZOOMORFICI,Z M R F C
5574,6,NEÎMPLINIT,N E M P L T
5575,11,PICNOMETRIE,A E R I C O S L U M T
5576,6,SE-GRE-GA-ȚI-E,S E R A Ț I
5577,5,PARTICIPATIV,P A T I C
5578,7,PREAÎNȚELEPȚI,P R A Î N L I
5579,13,ARHIDIECEZE,B H N O E L I F G T D C Z
5580,5,ATACATĂ,G N T Â C
5581,4,DALBII-ȚI,D A L Ț
5582,20,VISCUM,A J B R C T D O E S P N L U F G Ă Z Ț M
5583,12,MINIERE,A C F H L U V B I S N M
5584,9,REAPUCA,D M R C Ț Â L P U
5585,16,ÎNCETAI,C H O D J L P R S E N Â I G Z Î
5586,17,COROZIVITATE,F L P R T C O S D M G J N E B Z V
5587,9,STABILIZANTĂJJ,S A B I L Z N E Ă
5588,11,NEBĂRBIERIT,B C D N A Î Z P Ă R I
5589,8,SEPARATISTE,M O P E I S Ă A
5590,8,SEMICALCURI,A N S E M L U R
5591,8,DIO,A G N P S V C O
5592,6,SESIZATĂ,E I Z N T Ă
5593,21,SÂRGHIEI,A G E L Z C I M U O Â N Ă P T B D V Ț F H
5594,2,BABADAM,B D
5595,5,GEVREA,D L G R A
5596,10,NEHIDROLIZABILE,E C N H I D O Z A B
5597,8,SINECOLOGIC,A M N G L I C S
5598,15,RĂSPUNZI,B C N I A D L T M R U Â F P Z
5599,12,MUSAFIRILOR,A L E C N T O Z U S F R
5600,15,SINOLOGI,A E L Ă B R C I T F H D N U S
5601,6,IMPORTĂRI,M P O T U Ă
5602,9,TURBOSETERE,A D S B Â Î T R O
5603,7,NISIPERNIȚĂ,N S P A R Ă E
5604,7,ACOMPANIATOR,C O M P N I T
5605,12,CERCELOII,R L A Ț U T Z V Ă Â O I
5606,14,PETRECI,A B R C D F H L M P V N S T
5607,8,ISPRĂVNICIILE,S P Ă V N C L E
5608,6,DECORATOARE,A N D E R T
5609,19,PIROLIZĂ,B O T C D G N J Ă V P E A M F S X L Z
5610,14,ADUCȚIE,B L R I E C M D T J G N S Ț
5611,4,HARUL,A D U R
5612,14,NEOLATINE,A C D L U P R M B Â I E S N
5613,8,GHIZDURI,B R Ă I Ț G H U
5614,15,FIBRINOÂI,A G T R B I Z E H P Ă S C F Â
5615,18,CUMPĂRA,A B L I D F E U P T S N H O Ă Z Â M
5616,7,ARGHIROFILEI,A H I O F L E
5617,8,OLFACTOLOGIA,D I T O G E L F
5618,11,CENTRALIZAȚIA,A G B C P E N T R I Ț
5619,10,TRUDITOARE,A B C R D N S I U T
5620,9,UNITATE,A H L M Ă T E O U
5621,10,BELINOGRAF,C N S B E L I O R F
5622,17,EPIZONĂ,A C F L S Â B R I U G O V M P E N
5623,5,IMITATIV,A P G I M
5624,17,LUMINAȚI,A R T O B F D L E Z C I M Ă X J Ț
5625,8,CALORIMETRIA,B C O R I M E T
5626,10,RELIEFÂND,A C L T N R E F U I
5627,17,INAPȚI,D I T C L O Ă R E F N Î G U S Â Ț
5628,15,CLORIZARE,B L T C D G F M N H R E O U Z
5629,8,SUPRAREZISTENT,U P E R Z I N A
5630,14,REGLEMENTEZE,A D C L I E Ț P M Z T Ă O G
5631,9,CISTOSARCOAME,C I L M F S T A E
5632,11,TROCANTER,A G B C D P T N Z I O
5633,2,PÂÂIM,P I
5634,9,ÎNCÂINA,M P N E D A T C I
5635,19,UÂCHIRE,A B S U R G L T M N O P C Z Ă F Â V H
5636,5,NECU-NOSCUT,N C O S T
5637,8,TRUFAÂĂ,O P R I U F A Ă
5638,9,ASTROSPECTROGRAFIEI,A S T R O P C G I
5639,14,PARENETICE,B C M I S H E N T L F U G P
5640,11,ÎMPRICINAȚII,A N G O F P R T Î M Ț
5641,18,MĂLUROASĂ,B C L E Â R Ț H T M U Z G D N S F O
5642,6,CANADIENEI,B N L C D E
5643,10,DETRACTOR,B A P M R Ă E X T D
5644,7,GROSCIOR,A B G O Â S C
5645,10,ARGUMENTÂND,A C D E S R G U M T
5646,5,SIHĂSTRIA,H Ă T R A
5647,6,PROMONTORIU,P R M N I U
5648,16,PEDANTERIE,B N C O L I E D Ă G F P M Z Ț T
5649,4,ZOOPSIA,Z P S A
5650,12,LI-A,C U D F I X M P S Z Ț L
5651,6,DISMNEZIE,D Z I R S N
5652,6,ZLOABĂ,D G L O A Ă
5653,7,ANTIPATRIOTISM,A N T I R O S
5654,12,CONCUSIUNI,A Ț I D G E L N S R T U
5655,6,URMĂRIM,I T N R L M
5656,10,SUPRAAGLOMEREZ,L X S P R A G O M Z
5657,14,BRĂCUI,A N B D I C G O P F T L S Ă
5658,4,VAREC,A N E C
5659,7,CAMPTOCORMIE,C A P T R I E
5660,17,TURBULENȚĂ,A B L C O G M N S Z R U T P Â Î Ț
5661,10,PODIÂTII,A S E Â N O R Ț D T
5662,3,ABATAJE,A T J
5663,7,CORELAȚIONALE,C E L A Ț I N
5664,13,TARSUL,B C I P D N F L E H T R U
5665,11,CANCEROASE,A B M N H U T D S C E
5666,11,ÎNRĂUTĂȚIREA,D I N F Î S R Ă U T A
5667,10,POSADE,B O J C R D E G M P
5668,11,REVOLUȚI,A C E R O I G M P V U
5669,9,VIOLONISTE,A G I N O T C S L
5670,9,CATIFELIU,A C I V N U O F L
5671,12,PĂSTRĂVĂRII,A G L E D S N R V Z T Ă
5672,3,NUNZIO,U Z I
5673,6,LINGVISTICII,L N V S T C
5674,6,ABSENTEISM,A B S N T M
5675,9,NEDREAPTĂ,U D E Z R I N T Ă
5676,13,FAPTURI,B R I C E O T L S N M P U
5677,10,NEPUNCTUAL,B U A T I C O S P L
5678,13,VIORISTE,A G N P R D E I M O Ă X S
5679,6,CONTRAROTATIV,C O T R A I
5680,7,ROTIFORMI,G T A I U F M
5681,20,ȚARULUI,A C R I P D F G Â N M O E S T V B H X Ț
5682,5,BABORDURI,A O D U I
5683,6,MAMIFERELOR,A I F R L O
5684,8,NEÂNTREBUINȚATE,N Â R B U I Ț A
5685,5,GALACTOCEL,G C T O E
5686,15,SUBCELULARI,B T C I D G M N U Ă E O S F L
5687,6,ÎMBINAȚI,M P B I N A
5688,13,PALEMONI,L N I B R T C M G Z O F P
5689,7,ELUCUBRAȚII,E L C B R A Ț
5690,14,ENTROPIC,A C U F G L D R T O P Î S E
5691,13,MORT,B S Z Î C E M F G H P L T
5692,4,IRIGĂRI,M R T G
5693,6,DERNY,A U E M R Y
